Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),H2OX(23)
7.292473313722214e-15,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756011765204,0.11866996308906935,0.022821567622355151,0.0,2.4800381654695356e-31,4.1908991853938737e-24,0.0,1.4135940471265338e-30,0.0,7.4623968666529694e-16,2.5481309477239556e-66,7.4154010894672386e-16,1.2791657724083812e-44,1.4002011705468527e-36,0.0,0.0,5.6217382672152997e-31,1.9713323630205648e-51,2.9408407149809272e-09,1.4139826998567643e-10,5.4497866367135544e-14,1.3683853500040662e-20,5.4502552254687425e-14,1.0364263096850292e-31,7.0546801124288343e-39,2.0614668078974898e-24,2.1089627579922527e-28
1.0242237802366652e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755887085999,0.11866996189949387,0.022821567593757749,0.0,8.0069651649721402e-31,8.2050032916153944e-24,0.0,3.952796651135141e-30,0.0,1.0506895674582302e-15,2.2387818369029054e-65,1.0414888918298134e-15,5.1476363422015846e-44,4.4520727614108012e-36,0.0,0.0,1.2589597967513439e-30,1.1644681117036406e-50,4.1303938428021012e-09,1.9859307501460006e-10,7.6539364869780839e-14,2.123241026874708e-20,7.6548544300639507e-14,2.8507327246085544e-31,2.8389520821401598e-38,4.0431337823225612e-24,4.7204616656963049e-28
1.6141766779655528e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675563772767,0.11866995952034366,0.022821567536562944,0.0,3.7800677521371979e-30,2.0284485335833013e-23,0.0,1.5905648604981705e-29,0.0,1.6641312280489031e-15,4.3622702152086274e-64,1.6413864131274952e-15,3.4826138488736482e-43,2.0274823176077725e-35,0.0,0.0,3.5645088945124808e-30,1.3767103596321823e-49,6.5094993634638494e-09,3.1298268358969641e-10,1.206178511229033e-13,3.6620366100090997e-20,1.2064055928700081e-13,1.1343601760792294e-30,1.9206792446177557e-37,1.0032929690219835e-23,1.3349969580785328e-27
2.7940824734233277e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756755139011307,0.11866995476204618,0.022821567422173339,0.0,2.3104497783442472e-29,6.0649224814009728e-23,0.0,8.537306295645378e-29,0.0,2.9091793936681494e-15,1.475615234030356e-62,2.8411812778420062e-15,3.471036161366075e-42,1.1892161740826438e-34,0.0,0.0,1.185289430525817e-29,2.6205777716563647e-48,1.126770746475206e-08,5.4176189480990693e-10,2.0875678337679063e-13,6.7534380635491861e-20,2.0882471386725678e-13,6.0577458569276393e-30,1.9142876890290171e-36,3.0230191340342779e-23,4.4286657897931491e-27
5.153894064338877e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756754141579776,0.11866994524546295,0.022821567193394138,0.0,1.6172948070648532e-28,2.0620246527686523e-22,0.0,5.5048088447330647e-28,0.0,5.4719078264938263e-15,6.8678970266009659e-61,5.2407702957451857e-15,4.340577570502249e-41,8.0767007976657991e-34,0.0,0.0,4.3155625172572148e-29,6.44670403299073e-47,2.0784111907151241e-08,9.9932029353060317e-10,3.8496251415242847e-13,1.2933505754493526e-19,3.8519352204023363e-13,3.9004844263273423e-29,2.3938263431878585e-35,1.0438446966511155e-22,1.6046863471237292e-26
9.873517246169977e-14,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756752146721425,0.11866992621234357,0.02282156673583579,0.0,1.2049630597754327e-27,7.5660770764087332e-22,0.0,3.9347199120091403e-27,0.0,1.0887673285919338e-14,3.837213058728055e-59,1.0039945485445864e-14,6.1225343186948758e-40,5.9356348555114695e-33,0.0,0.0,1.6466577175346874e-28,1.8064233777753462e-45,3.9816873751235732e-08,1.9144369960931471e-09,7.3708566058474151e-13,2.5286801111072711e-19,7.379331343989059e-13,2.7891326506047846e-28,3.3765286027782546e-34,3.948380772265972e-22,6.0640861126063199e-26
1.9312763609832176e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756748157023719,0.11866988814629295,0.022821565820719276,0.0,9.1893094394898667e-27,2.8946383651469546e-21,0.0,2.967934750634128e-26,0.0,2.2878677625434312e-14,2.4118235112210631e-57,1.9638284480456493e-14,9.1799486800211926e-39,4.5444809621925296e-32,0.0,0.0,6.4331232140062836e-28,5.4006946075184269e-44,7.7882209277343719e-08,3.7446700217036895e-09,1.4401804538687981e-12,4.9992504772803637e-19,1.4434203429003558e-12,2.107652860375327e-27,5.0625301097398935e-33,1.6010694720408764e-21,2.3242755614654432e-25
2.8752009973494377e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756744167351299,0.1186698500804932,0.022821564905603012,0.0,2.8616562772374016e-26,6.415661699679073e-21,0.0,9.2619334311009535e-26,0.0,3.6413350561629921e-14,1.7274161544644251e-56,2.9236608296325163e-14,3.8267451016048739e-38,1.4251490426446402e-31,0.0,0.0,1.4361458307138681e-27,2.8716691277517793e-43,1.1594729392180613e-07,5.574902541296752e-09,2.1417422102632481e-12,7.4700397124629284e-19,2.1489181964074559e-12,6.5872948147389408e-27,2.1103298507520279e-32,3.7150173187563928e-21,5.1077303215704138e-25
3.8191256337156574e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375674017770417,0.11866981201494435,0.022821563990487004,0.0,6.4333547178259946e-26,1.1319722941288136e-20,0.0,2.0929924313667242e-25,0.0,5.1488488689910426e-14,7.8157430269380676e-56,3.8834916933116884e-14,1.0724080815867375e-37,3.2302181832049544e-31,0.0,0.0,2.5431935696281926e-27,9.6953272725319902e-43,1.5401212768618221e-07,7.4051345548749458e-09,2.8417741330604456e-12,9.9410690351571327e-19,2.8544266949090286e-12,1.4908676209442135e-26,5.9139092890283533e-32,6.8398304463414017e-21,8.9083970007380104e-25
4.763050270081877e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756736188082331,0.11866977394964635,0.02282156307537125,0.0,1.2113762729739424e-25,1.7606868790865228e-20,0.0,3.9672026862444222e-25,0.0,6.8100786632013262e-14,2.7096388917185269e-55,4.8433210390899541e-14,2.4259044022614145e-37,6.1363780517380709e-31,0.0,0.0,3.9644838149236057e-27,2.5647630046078575e-42,1.9207671057209525e-07,9.2353660624410641e-09,3.5402795275223597e-12,1.2412326154325781e-18,3.5599458383963278e-12,2.8302906657270449e-26,1.3377718424046923e-31,1.1081901677271598e-20,1.3678398176779889e-24
6.650899542814316e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756728208914516,0.11866969781980295,0.022821561245140502,0.0,3.1462617567888861e-25,3.4330587401248022e-20,0.0,1.0462076304146751e-24,0.0,1.0592464304866787e-13,2.0191721332272062e-54,6.7629751769690334e-14,8.4777102195592357e-37,1.6236334023451621e-30,0.0,0.0,7.7498965399870278e-27,1.1642968690947306e-41,2.6820512371456772e-07,1.2895827559547483e-08,4.9327229499187021e-12,1.7355519396858605e-18,4.9710160602908434e-12,7.4874708080996825e-26,4.6749191330097801e-31,2.3310899374325634e-20,2.5960571674277318e-24
8.538748815546756e-13,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756720229847847,0.11866962169096297,0.022821559414910767,0.0,6.4392008342044184e-25,5.6587191948476739e-20,0.0,2.1755032140367859e-24,0.0,1.4985852752259223e-13,8.5425155818344119e-54,8.6826232433244117e-14,2.1841306439005101e-36,3.3849753744498584e-30,0.0,0.0,1.279261046353195e-26,3.6270426807615149e-41,3.4433253336227879e-07,1.6556287032638491e-08,6.3190988688120038e-12,2.2299629017111059e-18,6.3821288620085527e-12,1.5617656544780148e-25,1.2043770941155544e-30,4.1250827553999883e-20,4.1606649944704807e-24
