Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20)
6.560301932638609e-09,0.09977366400000001,0.80000000000000004,0.0,0.28714427413720528,0.098365080371814642,0.099717784082678604,3.8337277795848374e-52,5.2102716960907109e-22,4.8756570402317457e-17,1.3111538868787557e-30,1.3756540262523021e-28,1.3275981857257351e-19,3.3699656077193255e-14,4.7078029926164944e-44,3.3602275175180288e-14,4.6701598510523067e-30,2.5447009136991655e-34,3.1028175424532121e-31,4.304216440925564e-46,1.3223879142863157e-19,1.8454470979132336e-33,0.0016349196281516692,0.00056443183464293387
6.642834663431464e-09,0.09977366400000001,0.80000000000000004,0.0,0.28712206942553081,0.098349154340267697,0.099714644742614683,4.1316892887406461e-52,5.4081416790999444e-22,4.9980942667946906e-17,1.3611836417054283e-30,1.428051389888405e-28,1.3611046895459696e-19,3.4120984266609052e-14,5.0105786712745842e-44,3.4021157950928229e-14,4.8480170414128296e-30,2.6747361999756587e-34,3.2212957756230401e-31,4.5807038065563076e-46,1.3556965481333039e-19,1.9398703632875594e-33,0.0016508456596982081,0.00057071051477071584
6.725367394224319e-09,0.09977366400000001,0.80000000000000004,0.0,0.28709998888776106,0.098333325377523192,0.099711518955101774,4.4486875598346261e-52,5.6109313751347175e-22,5.1220281704484032e-17,1.4124682950570606e-30,1.4817587938375749e-28,1.3950264123477118e-19,3.4542259565322956e-14,5.3287154561913418e-44,3.4439957943462374e-14,5.0303197768213592e-30,2.8096820240017643e-34,3.3427499927494055e-31,4.8712106877072146e-46,1.3894154812490162e-19,2.0378667134586083e-33,0.0016666746224422951,0.0005769620897965415
6.807900125017174e-09,0.09977366400000001,0.80000000000000004,0.0,0.28707803209395272,0.09831759289229329,0.099708406800812402,4.7856820155930053e-52,5.8186999917918483e-22,5.2474580860620223e-17,1.4650233082904287e-30,1.5367922467024219e-28,1.4293632806004995e-19,3.4963482380037365e-14,5.6627891627178253e-44,3.4858675572774486e-14,5.2171223352306181e-30,2.9496598703546591e-34,3.4672170146800591e-31,5.1762629381942576e-46,1.4235445808953991e-19,2.1395248961454252e-33,0.0016824071076717887,0.00058318639837534353
6.89043285581003e-09,0.09977366400000001,0.80000000000000004,0.0,0.28705619861343074,0.098301956296870441,0.099705308358262607,5.1436677971888667e-52,6.0315067014515912e-22,5.3743833538788803e-17,1.5188641402211484e-30,1.5931677523176983e-28,1.464115221377321e-19,3.5384653114990473e-14,6.0133897419626785e-44,3.5277311256284677e-14,5.4084789772949521e-30,3.0947926812453626e-34,3.5947336599242503e-31,5.4963993642721866e-46,1.4580837149730618e-19,2.2449347358866838e-33,0.0016980437030942104,0.00058938328347488112
6.972965586602885e-09,0.09977366400000001,0.80000000000000004,0.0,0.2870344880147721,0.098286415007105998,0.099702223703815263,5.5236766343802172e-52,6.2494106416269004e-22,5.5028033194728223e-17,1.5740062471460807e-30,1.6509013098053361e-28,1.49928216235266e-19,3.5805772171971083e-14,6.3811214490788846e-44,3.5695865408857105e-14,5.6044439465576017e-30,3.2452048557245182e-34,3.7253367447028659e-31,5.8321718808610648e-46,1.4930327520189794e-19,2.3541871336993094e-33,0.0017135849928581991,0.00059555259236956264
7.05549831739574e-09,0.09977366400000001,0.80000000000000004,0.0,0.28701289986579193,0.098270968442388959,0.09969915291168352,5.9267777258822369e-52,6.4724709153093229e-22,5.6327173337048731e-17,1.6304650828656597e-30,1.7100089136290404e-28,1.53486403180052e-19,3.6226839950333306e-14,6.7666030114723236e-44,3.6114338442815626e-14,5.8050714696364837e-30,3.4010222488955665e-34,3.8590630829984113e-31,6.1841456677438089e-46,1.5283915612041652e-19,2.4673740667408046e-33,0.0017290315575748309,0.00060169417663303248
7.138031048188595e-09,0.09977366400000001,0.80000000000000004,0.0,0.28699143373353136,0.098255616025624562,0.099696096053935285,6.3540786299670807e-52,6.7007465913115992e-22,5.7641247526802346e-17,1.6882560987061508e-30,1.7705065536484454e-28,1.5708607585924135e-19,3.6647856847011258e-14,7.1704677969335436e-44,3.65327307679592e-14,6.0104157564084473e-30,3.5623721711352525e-34,3.9959494866048503e-31,6.5528993257355433e-46,1.5641600123313234e-19,2.584588587975245e-33,0.0017443839743388136,0.00060780789212953456
7.22056377898145e-09,0.09977366400000001,0.80000000000000004,0.0,0.28697008918424616,0.098240357183213417,0.099693053200498011,6.8067261652845938e-52,6.9342967046069431e-22,5.897024937705633e-17,1.7473947435418315e-30,1.8324102151728347e-28,1.6072722721953269e-19,3.706882325653355e-14,7.5933639816940371e-44,3.6951042791577349e-14,6.2205310001920842e-30,3.7293833873214043e-34,4.1360327651772859e-31,6.9390250328255562e-46,1.6003379758324693e-19,2.7059248258429139e-33,0.0017596428167495483,0.00061389359900407313
7.3030965097743055e-09,0.09977366400000001,0.80000000000000004,0.0,0.28694886578339629,0.098225191345030452,0.099690024419164344,7.2859073218974841e-52,7.1731802566650939e-22,6.0314172552469999e-17,1.8078964638170948e-30,1.8957358790144286e-28,1.6440985026696572e-19,3.7489739571037744e-14,8.0359547184083308e-44,3.7369274918465426e-14,6.4354713779290353e-30,3.902186116067929e-34,4.2793497262815083e-31,7.3431287002926564e-46,1.6369253227665331e-19,2.8314779839335552e-33,0.0017748086549320685,0.00061995116167139208
7.385629240567161e-09,0.09977366400000001,0.80000000000000004,0.0,0.28692776309563817,0.098210117944404277,0.099687009775598162,7.7928501825244552e-52,7.4174562157851e-22,6.1673010768874645e-17,1.8697767035684799e-30,1.9604995215412433e-28,1.6813393806671181e-19,3.7910606180284792e-14,8.4989183040632108e-44,3.7787427550939887e-14,6.655291050363866e-30,4.0809120289669734e-34,4.4259371754433504e-31,7.7658301287947138e-46,1.6739219248169326e-19,2.9613443406632055e-33,0.0017898820555578435,0.00062598044880378943
7.468161971360016e-09,0.09977366400000001,0.80000000000000004,0.0,0.28690678068481662,0.09819513641809624,0.09968400933334115,8.3288248539850046e-52,7.6671835174249083e-22,6.3046757792857155e-17,1.9330509044466205e-30,2.0267171147295271e-28,1.7189948374286233e-19,3.8331423471673266e-14,8.982948347815348e-44,3.820550108885334e-14,6.8800441622224679e-30,4.2656942498381721e-34,4.5758319161979218e-31,8.2077631644331875e-46,1.7113276542891268e-19,3.0956212489545798e-33,0.0018048635818654654,0.00063198133331778884
7.550694702152871e-09,0.09977366400000001,0.80000000000000004,0.0,0.28688591811395897,0.098180246206280089,0.099681023153820214,8.895144408839528e-52,7.9224210645277503e-22,6.4435407441346571e-17,1.9977345057381172e-30,2.0944046262157701e-28,1.7570648047821396e-19,3.8752191830253569e-14,9.4887539387585924e-44,3.8623495929609669e-14,7.1097848423890414e-30,4.4566673539849571e-34,4.7290707501386589e-31,8.6695758547933455e-46,1.7491423841081421e-19,3.2344071359209872e-33,0.0018197537936812027,0.00063795369235968697
7.633227432945726e-09,0.09977366400000001,0.80000000000000004,0.0,0.28686517494527036,0.098165446752521451,0.099678051296355055,9.4931658372185752e-52,8.1832277278453815e-22,6.5838953581203973e-17,2.0638429443873262e-30,2.1635780193483006e-28,1.7955492151405143e-19,3.9172911638742106e-14,1.0017059813622199e-43,3.904141246817887e-14,7.3445672040816488e-30,4.6539673674578331e-34,4.8856904769662161e-31,9.1519306049610236e-46,1.7873659878160762e-19,3.3778015025537379e-33,0.0018345532474394351,0.00064389740728999876
7.715760163738581e-09,0.09977366400000001,0.80000000000000004,0.0,0.28684455074012999,0.098150737503757482,0.099675093818166638,1.0124291008835032e-51,8.4496623462581768e-22,6.7257390128815682e-17,2.1313916550180717e-30,2.2342532532384608e-28,1.8344480014992763e-19,3.9593583277535255e-14,1.0568606524401227e-43,3.9459251097111982e-14,7.5844453450263403e-30,4.8577317663245986e-34,5.0457278945371942e-31,9.655504333516623e-46,1.8259983395695811e-19,3.5259049234130264e-33,0.0018492624962029595,0.00064981236366682196
7.798292894531437e-09,0.09977366400000001,0.80000000000000004,0.0,0.28682404505908837,0.098136117910276863,0.099672150774385959,1.0789967645173241e-51,8.7217837270921182e-22,6.8690711049689723e-17,2.2003960699552704e-30,2.3064462828113734e-28,1.8737610974344101e-19,4.001420712472335e-14,1.1144150605920349e-43,3.9877012206555804e-14,7.829473347629908e-30,5.0680994759474351e-34,5.2092197989126945e-31,1.0180988628507133e-45,1.8650393141373188e-19,3.6788190463222588e-33,0.0018638820896831798,0.00065569845122813919
7.880825625324292e-09,0.09977366400000001,0.80000000000000004,0.0,0.28680365746186648,0.09812158742569943,0.0996692222180635,1.1491690301848975e-51,8.9996506464326715e-22,7.0138910358054995e-17,2.2708716192464824e-30,2.3801730588562978e-28,1.9134884371001062e-19,4.0434783556104606e-14,1.1744464743332229e-43,4.0294696184267619e-14,8.0797052791511974e-30,5.2852108702667952e-34,5.3762029844067013e-31,1.0729089903396865e-45,1.9044887868973967e-19,3.8366465920657682e-33,0.0018784125742601658,0.00066155556387308264
7.963358356117147e-09,0.09977366400000001,0.80000000000000004,0.0,0.28678338750735494,0.098107145506956595,0.099666308200178966,1.2231001361134377e-51,9.2833218494356537e-22,7.1601982116464304e-17,2.3428337306833623e-30,2.4554495280765824e-28,1.9536299552264854e-19,4.0855312945198799e-14,1.2370337939551806e-43,4.0712303415629694e-14,8.335195191871086e-30,5.509207771092078e-34,5.5467142436342996e-31,1.1300529552997717e-45,1.9443466338347819e-19,3.9994913540899569e-33,0.0018928544930026023,0.00066738359964218109
