Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(56),CH3OO(84)
1.7065725497488004e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33322101993962316,0.11464815610007272,0.022659200871925956,1.9033062696020536e-35,3.5278659680815898e-13,2.0193898423566984e-10,2.6699167731045116e-21,8.7423569765501323e-15,1.3320115301653063e-12,2.9435281082122265e-07,1.5899466469622436e-22,7.602614710208572e-11,1.1369784736613871e-15,9.1917761081260613e-17,3.8530583499129939e-21,3.721217071232713e-29,1.3022619624181439e-12,4.9541931593867888e-18,0.0040215152378159707,0.00032473352599403143,2.8729045618663134e-10,1.202809322750405e-11,2.9419502781842133e-07,1.2805996216731787e-16,2.2208529339159014e-12,5.0623608407174865e-11
1.720466485514097e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33320147352863805,0.11463121582380759,0.022657897797429927,2.0106942670024291e-35,3.6294008020685362e-13,2.0853358012832875e-10,2.7445750565837928e-21,9.028054488755596e-15,1.3587866072494078e-12,2.9808513258450272e-07,1.6750337768859014e-22,7.7122605533207369e-11,1.1743217244994246e-15,9.4988660571907971e-17,4.0001654003334121e-21,3.9393855032451961e-29,1.3282151641939437e-12,5.1545418389434344e-18,0.0040384517793756337,0.00032733967338677077,2.890001384746746e-10,1.2271342814539991e-11,2.9791503016919905e-07,1.3077580449946447e-16,2.2982292860217083e-12,5.1270197343632551e-11
1.734360421279394e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33318209114960101,0.11461443912483282,0.022656594950084877,2.1232651920067087e-35,3.7331550401457867e-13,2.1529429098814145e-10,2.820740715388252e-21,9.3209882060966014e-15,1.3858984479464049e-12,3.0183865313390812e-07,1.7640156470568302e-22,7.8228996325492456e-11,1.2126131514230475e-15,9.8140037077943561e-17,4.1518476802433437e-21,4.1687162955762473e-29,1.3544890160988741e-12,5.3614469019188529e-18,0.0040552247224417901,0.00032994536646621274,2.907101787730858e-10,1.2517749385311879e-11,3.0165588575557516e-07,1.3353103200172371e-16,2.3776895486908234e-12,5.1920438582326454e-11
1.7482543570446907e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33316287122269073,0.11459782442595294,0.022655292328574921,2.241228124658376e-35,3.8391633683250579e-13,2.2222411185043965e-10,2.8984331189908981e-21,9.6212904263666208e-15,1.4133489293231026e-12,3.0561336725760329e-07,1.857041347261392e-22,7.9345368108725115e-11,1.2518700840060078e-15,1.0137343909947061e-16,4.3082163662328287e-21,4.4096998448371525e-29,1.3810852026487947e-12,5.575074239226584e-18,0.0040718356442151363,0.00033255060786410045,2.9242058243720352e-10,1.276733180286161e-11,3.0541758322689324e-07,1.3632598839955625e-16,2.4592739701992798e-12,5.2574330558387799e-11
1.7621482928099874e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33314381218333244,0.11458137016519311,0.022653989931597,2.3647989777460482e-35,3.947460839870616e-13,2.2932607127049903e-10,2.9776717594295407e-21,9.9290949841112059e-15,1.4411399276567658e-12,3.0940926981749131e-07,1.9542645964848835e-22,8.0471769374939854e-11,1.292110052214191e-15,1.0469043453966397e-16,4.4693846092866281e-21,4.6628446593052584e-29,1.4080054066303017e-12,5.7955927636869273e-18,0.0040882861066756154,0.00033515540018654602,2.9413135473739594e-10,1.3020108912168858e-11,3.0920011123824334e-07,1.3916101927690356e-16,2.5430232827037553e-12,5.3231871720582119e-11
1.7760422285752842e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33312491248205045,0.11456507479565199,0.022652687757860723,2.4942006698942291e-35,4.0580828780771496e-13,2.3660323147680831e-10,3.0584762516064725e-21,1.0244537258977574e-14,1.4692733184418885e-12,3.1322635574804229e-07,2.0558438544867343e-22,8.1608248478752183e-11,1.3333507874755016e-15,1.080926108231581e-16,4.6354675574054396e-21,4.9286779051289897e-29,1.4352513091082747e-12,6.0231744448633372e-18,0.0041045776567296037,0.00033775974601428407,2.9584250086021092e-10,1.3276099540128484e-11,3.1300345844897771e-07,1.4203647209174987e-16,2.6289787046664199e-12,5.3893060531093861e-11
1.789936164340581e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33310617058432168,0.11454893678535606,0.022651385806088276,2.62966330183795e-35,4.1710652790625202e-13,2.4405868852383285e-10,3.1408663335924366e-21,1.0567754184063747e-14,1.4977509763968555e-12,3.1706462005513595e-07,2.1619424353240691e-22,8.2754853637683255e-11,1.3756102237495019e-15,1.1158157501442146e-16,4.8065823783492735e-21,5.2077459654242716e-29,1.4628245894333108e-12,6.2579943440843096e-18,0.0041207118263556731,0.00034036364790292331,2.9755402590951126e-10,1.3535322495525645e-11,3.1682761352124458e-07,1.4495269619172884e-16,2.7171819432727104e-12,5.4557895465313726e-11
1.8038301001058777e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33308758497043178,0.11453295461711509,0.022650084075014291,2.7714243359197982e-35,4.2864442145753002e-13,2.5169557244426937e-10,3.2248618669349017e-21,1.0898884254267267e-14,1.5265747754704995e-12,3.2092405781492107e-07,2.27272862284537e-22,8.3911632932479072e-11,1.418906498596808e-15,1.1515895393611644e-16,4.9828482825029458e-21,5.5006150124848743e-29,1.4907269252490497e-12,6.5002306496506978e-18,0.0041366901327489075,0.00034296710838319566,2.9926593490759501e-10,1.3797796569008626e-11,3.2067256511853724e-07,1.4791004282977885e-16,2.8076751968419602e-12,5.5226375011629178e-11
1.8177240358711745e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33306915413533106,0.1145171267883794,0.022648782563385695,2.9197287788481553e-35,4.4042562348170612e-13,2.5951704740078799e-10,3.3104828369706477e-21,1.1238067534633547e-14,1.5557465888485495e-12,3.2480466417269009e-07,2.3883757881761099e-22,8.5078634307423476e-11,1.4632579542482473e-15,1.1882639428744365e-16,5.1643865458637147e-21,5.8078715933317052e-29,1.5189599924993869e-12,6.7500647122284253e-18,0.0041525140784638634,0.00034557012996120246,3.009782327963004e-10,1.4063540533059617e-11,3.2453830190426071e-07,1.5090886517984325e-16,2.9005011572308485e-12,5.5898497671217667e-11
1.8316179716364712e-08,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33305087658849386,0.11450145181109823,0.02264748126996162,3.0748293677556985e-35,4.5245382712793257e-13,2.675263118372579e-10,3.3977493531426899e-21,1.1585445668703771e-14,1.5852682889599839e-12,3.2870643434176929e-07,2.5090625092183335e-22,8.6255905570645735e-11,1.5086831386737703e-15,1.2258556276246787e-16,5.3513205331509525e-21,6.1301232288285387e-29,1.5475254654355802e-12,7.0076810804265465e-18,0.0041681851515561023,0.00034817271511865825,3.0269092443809714e-10,1.4332573141963161e-11,3.2842481254031518e-07,1.5394951835261855e-16,2.9957030122296028e-12,5.6574261957842795e-11
