Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85)
1.390132330043467e-07,0.09977366400000001,0.80000000000000004,0.0,0.27364978981530408,0.095860427266076784,0.094215662267075451,3.7740679279057961e-28,3.9548577792485096e-06,1.1362056988624525e-06,8.0194759659857943e-18,5.4903698271793143e-10,1.0541428995863947e-09,1.7188847224870916e-05,1.4891203956588207e-15,2.8409886562844958e-10,1.8498205404280487e-11,3.5382983790557659e-10,5.8438472596479304e-16,5.5524570542827751e-21,1.6210398031385879e-09,1.183143950305061e-13,0.0041222894190265334,0.011564440497070973,6.1387726278814377e-09,1.0523873136586741e-07,6.9942190693946999e-06,2.7202573801637063e-10,8.578561424833856e-08
1.3908012439201013e-07,0.09977366400000001,0.80000000000000004,0.0,0.27364469726441509,0.095860488608461678,0.094213075726100048,3.7916507531947777e-28,3.9605634724291792e-06,1.1371592548654679e-06,8.0434304778743679e-18,5.5012975635860588e-10,1.0554439723351062e-09,1.7201440177203111e-05,1.4939620390580894e-15,2.8425584790865123e-10,1.8534980013257898e-11,3.5433503213326207e-10,5.8583957209517093e-16,5.5732755441988284e-21,1.6228415398100431e-09,1.1861236752782456e-13,0.0041222154162108482,0.01156960770823416,6.1408316408277063e-09,1.0527718642087893e-07,6.9935207724754061e-06,2.7235015238089546e-10,8.5846967721641803e-08
1.3914701577967355e-07,0.09977366400000001,0.80000000000000004,0.0,0.27363960505154222,0.095860549946944262,0.094210489352380217,3.8093056798813075e-28,3.9662719510724773e-06,1.1381123422059781e-06,8.0674442368504093e-18,5.5122413070599098e-10,1.056745962307074e-09,1.721403602112491e-05,1.4988168584144e-15,2.8441272534787126e-10,1.8571808347104941e-11,3.5484058040125636e-10,5.8729727275988263e-16,5.5941611350550521e-21,1.6246440071017227e-09,1.1891093238404627e-13,0.0041221414143897857,0.0115747745821125,6.1428907723043577e-09,1.0531560490057808e-07,6.9928207860448275e-06,2.7267464644688454e-10,8.5908332586179891e-08
1.3921390716733697e-07,0.09977366400000001,0.80000000000000004,0.0,0.27363451317662152,0.095860611281507052,0.094207903145897873,3.8270329627319958e-28,3.9719832120442947e-06,1.139064960446052e-06,8.0915173587237282e-18,5.5232010729966784e-10,1.0580488696710814e-09,1.722663475644387e-05,1.503684882716305e-15,2.8456949800502661e-10,1.8608690457187446e-11,3.5534648266767226e-10,5.8875783206706379e-16,5.6151140080592953e-21,1.6264472046197829e-09,1.1921009046473525e-13,0.0041220674135810185,0.011579941118745161,6.144950021599678e-09,1.0535398687148771e-07,6.9921191169898823e-06,2.7299922010249805e-10,8.5969708840329192e-08
1.392807985550004e-07,0.09977366400000001,0.80000000000000004,0.0,0.27362942163958953,0.095860672612132714,0.094205317106634975,3.8448328572674903e-28,3.9776972522163668e-06,1.1400171091504494e-06,8.1156499594706228e-18,5.5341768768000021e-10,1.0593526945958834e-09,1.7239236382965768e-05,1.5085661410015087e-15,2.8472616593935528e-10,1.864562639489691e-11,3.5585273889072875e-10,5.9022125412867012e-16,5.6361343448152028e-21,1.6282511319711353e-09,1.1950984263628352e-13,0.0041219934138021263,0.011585107318171323,6.1470093880146973e-09,1.0539233240295187e-07,6.9914157721757743e-06,2.7332387325243102e-10,8.6031096482457171e-08
1.393476899426638e-07,0.09977366400000001,0.80000000000000004,0.0,0.27362433044038259,0.095860733938803872,0.094202731234573442,3.8627056197644835e-28,3.9834140684662938e-06,1.140968787886613e-06,8.1398421552340457e-18,5.5451687338813373e-10,1.0606574372502073e-09,1.72518409004946e-05,1.5134606623569312e-15,2.8488272921041399e-10,1.8682616211650511e-11,3.5635934902875089e-10,5.9168754306047838e-16,5.6572223273229506e-21,1.6300557887634451e-09,1.1981018976591188e-13,0.0041219194150705985,0.011590273180430136,6.1490688708491657e-09,1.0543064156482302e-07,6.9907107584483262e-06,2.7364860580182951e-10,8.6092495510922276e-08
1.3941458133032723e-07,0.09977366400000001,0.80000000000000004,0.0,0.27361923957893725,0.095860795261503387,0.094200145529695287,3.8806515072576794e-28,3.9891336576775417e-06,1.14191999622466e-06,8.1640940623237888e-18,5.5561766596599634e-10,1.0619630978027524e-09,1.7264448308832568e-05,1.5183684759187748e-15,2.8503918787807751e-10,1.8719659958891109e-11,3.5686631304017003e-10,5.9315670298208805e-16,5.67837813797997e-21,1.6318611746051314e-09,1.2011113272167018e-13,0.0041218454174038396,0.01159543870556074,6.1511284693968778e-09,1.0546891442401787e-07,6.9900040826374314e-06,2.7397341764375573e-10,8.6153905924074026e-08
1.3948147271799065e-07,0.09977366400000001,0.80000000000000004,0.0,0.27361414905519033,0.095860856580214066,0.094197559991982427,3.8986707775413378e-28,3.994856016739421e-06,1.1428707337373743e-06,8.1884057972166025e-18,5.5672006695629838e-10,1.0632696764221899e-09,1.7277058607780115e-05,1.5232896108725725e-15,2.8519554200253741e-10,1.8756757688087217e-11,3.5737363088352316e-10,5.9462873801692329e-16,5.6996019595815178e-21,1.6336672891053642e-09,1.2041267237243755e-13,0.0041217714208191631,0.011600603893602268,6.1531881829541735e-09,1.0550715104894523e-07,6.98929575155267e-06,2.742983086795357e-10,8.6215327720253029e-08
1.3954836410565407e-07,0.09977366400000001,0.80000000000000004,0.0,0.27360905886907844,0.095860917894918976,0.094194974621416835,3.9167636891716933e-28,4.0005811425470891e-06,1.1438210000001975e-06,8.2127774765564076e-18,5.5782407790253158e-10,1.0645771732771627e-09,1.7289671797135889e-05,1.5282240964532706e-15,2.8535179164430071e-10,1.8793909450733041e-11,3.5788130251745364e-10,5.9610365229223454e-16,5.7208939753215569e-21,1.6354741318740651e-09,1.2071480958792332e-13,0.0041216974253337922,0.011605768744593835,6.1552480108202156e-09,1.0554535150869506e-07,6.9885857719841316e-06,2.746232788136932e-10,8.6276760897790869e-08
1.396152554933175e-07,0.09977366400000001,0.80000000000000004,0.0,0.27360396902053852,0.095860979205601105,0.094192389417980471,3.9349305014684081e-28,4.0063090320015584e-06,1.144770794591222e-06,8.2372092171544297e-18,5.5892970034896936e-10,1.065885588536284e-09,1.7302287876696752e-05,1.5331719619452731e-15,2.8550793686418839e-10,1.8831115298348407e-11,3.5838932790071058e-10,5.9758144993909912e-16,5.7422543687932952e-21,1.6372817025219042e-09,1.2101754523866703e-13,0.0041216234309648702,0.011610933258574549,6.1573079522927477e-09,1.0558351587108031e-07,6.987874150704402e-06,2.7494832794606512e-10,8.6338205455010261e-08
1.396821468809809e-07,0.09977366400000001,0.80000000000000004,0.0,0.27359887950950779,0.095861040512243645,0.09418980438165532,3.9531714745160937e-28,4.0120396820096871e-06,1.1457201170911841e-06,8.2617011359892979e-18,5.6003693584066744e-10,1.06719492236814e-09,1.7314906846257806e-05,1.538133236682494e-15,2.8566397772333485e-10,1.8868375282478829e-11,3.5889770699214868e-10,5.9906213509242455e-16,5.7636833239897415e-21,1.6390900006603002e-09,1.2132088019603895e-13,0.0041215494377294425,0.011616097435583504,6.159368006669366e-09,1.0562164420383032e-07,6.9871608944673814e-06,2.7527345597676424e-10,8.6399661390224963e-08
1.3974903826864433e-07,0.09977366400000001,0.80000000000000004,0.0,0.27359379033592324,0.095861101814829847,0.094187219512423356,3.9714868691662838e-28,4.0177730894841683e-06,1.1466689670834568e-06,8.286253350207254e-18,5.6114578592346238e-10,1.0685051749412881e-09,1.7327528705612363e-05,1.5431079500484198e-15,2.8581991428318646e-10,1.8905689454695469e-11,3.5940643975072883e-10,6.0054571189094815e-16,5.7851810253044269e-21,1.6408990259014181e-09,1.2162481533224043e-13,0.0041214754456444808,0.011621261275659775,6.1614281732487736e-09,1.0565973657549265e-07,6.9864460100074187e-06,2.7559866280996194e-10,8.6461128701739795e-08
